codiu   loinc_code,long_common_name,name,status,component,property,time,system,scale,method,class,type,short_name,example_ucum_units,example_unit,description,history_first_released,history_last_updated,history_last_change_type,version_last_changed_core,fetal_descriptors,panels,groups,related_names,source_files
11615-2,,Fetal Body movement US,ACTIVE,Activity,Find,Pt,Heart^Fetus,Nom,US,OB.US,2,Fet Hrt Activity US,,,,1.0j-a,2.58,MIN,,,,,Finding; OB; OB.GEN; OB.US; Obstetrics; Ordinal; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
11616-0,,Fetal Body movement US^Time,ACTIVE,Activity,Find,Pt,Heart^Fetus,Nar,US,OB.US,2,Fet Hrt Activity US,,,of a microscopic part of a surgical papule test.,1.0j-a,2.73,MIN,,,,,Frequency; OB; OB.GEN; OB.US; Obstetrics; Quantitative; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
11633-5,,Fetal Heart rate reactivity US,ACTIVE,Heart rate reactivity,Fcn,Pt,^Fetus,Ord,US,OB.US,2,Fetal NST by US,,,"NST reactivity: reactive if ≥2 accelerations in 20 minutes; nonreactive may need 40 minutes; impacted by fetal sleep, meds, or oxygenation.",1.0j-a,2.71,NAM,,,48770-2 Fetal Biophysical profile panel US,,Biophysical profile; Finding; OB; OB.GEN; OB.US; Obstetrics; Ordinal; Random; Screen; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json
11634-3,,Fetal Biophysical profile.sum Derived,ACTIVE,Biophysical profile.sum,Fcn,Pt,^Fetus,Ord,Derived,OB.US,2,Fet BPP.sum Derived,,,"Sum of FHR reactivity, body movement, tone, breathing movement, AFV; each scored 0 or 2; total 0–10.",1.0j-a,2.27,MIN,,,48770-2 Fetal Biophysical profile panel US,,Finding; OB; OB.GEN; OB.US; Obstetrics; Ordinal; Random; Spot,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json
11732-5,,Fetal breathing movement US,ACTIVE,Body weight,Mass,Pt,^Fetus,Qn,US+Estimated from AC&BPD&FL&HC.Hadlock 1985,OB.US,2,EFW from AC+BPD+FL+HC.Hadlock85,g,g,,1.0j-a,2.27,MIN,,EFW,,,Finding; OB; OB.GEN; OB.US; Obstetrics; Ordinal; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11735-8,,Fetal Body tone US,ACTIVE,Body weight,Mass,Pt,^Fetus,Qn,US+Estimated from AC&BPD&FL.Hadlock 1985,OB.US,2,EFW from AC+BPD+FL.Hadlock85,g,,,1.0j-a,2.27,MIN,,,,,Finding; OB; OB.GEN; OB.US; Obstetrics; Ordinal; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
11750-7,,Fetal Body weight estimated from Abdominal circumference and Femur length on US by Hadlock 1984 method,ACTIVE,Body weight,Mass,Pt,^Fetus,Qn,US+Estimated from AC&FL.Hadlock 1984,OB.US,2,EFW from AC+FL.Hadlock84,g,,,1.0j-a,2.40,MIN,,EFW,,LG50068-2 Body weight|Mass|^Fetus|ANYMethod,Mass; OB; OB.GEN; OB.US; Obstetrics; Quantitative; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
11752-3,,Fetal Amniotic fluid volume US,ACTIVE,Body weight,Mass,Pt,^Fetus,Qn,US+Estimated from AC&FL.Woo 1985,OB.US,2,EFW from AC+FL.Woo85,g,,,1.0j-a,2.27,MIN,,EFW,,,OB; OB.GEN; OB.US; Obstetrics; Quantitative; Random; Spot; Ultrasound; Volume,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11766-3,,Fetal Body weight percentile Per estimated gestational age,ACTIVE,Body weight percentile,Prctl,Pt,^Fetus,Qn,Per estimated gestational age,OB.US,2,Fet Bdy weight Prctl Per est GA,%,%,,1.0j-a,2.27,MIN,,EFW Percentile,,,OB; OB.GEN; OB.US; Obstetrics; Percentile; Quantitative; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11768-9,,Fetal Skull calcification [Presence] US,ACTIVE,Body weight percentile range,Prctl,Pt,^Fetus,Ord,Categorization by comparison with standards,OB.US,2,Fet Bdy weight Prctl range Comp W std,,,Estimated fetal weight is compared with formulas or lookup tables of a population of birth weights,1.0j-a,2.27,MIN,,,,,Finding; OB; OB.GEN; OB.US; Obstetrics; Ordinal; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json
