loinc_code,long_common_name,name,class,property,time,system,scale,method,example_ucum_units,status
11615-2,Fetal Heart Activity US,Fetal Body movement US,OB.US,Find,Pt,Heart^Fetus,Nom,US,,ACTIVE
11616-0,Fetal Heart Narrative Activity US,Fetal Body movement US^Time,OB.US,Find,Pt,Heart^Fetus,Nar,US,,ACTIVE
11633-5,Fetal Heart rate reactivity US,Fetal Heart rate reactivity US,OB.US,Fcn,Pt,^Fetus,Ord,US,,ACTIVE
11634-3,Fetal Biophysical profile.sum Derived,Fetal Biophysical profile.sum Derived,OB.US,Fcn,Pt,^Fetus,Ord,Derived,,ACTIVE
11732-5,Fetal Body weight estimated from Abdominal circumference and Biparietal diameter and Femur length and Head circumference on US by Hadlock 1985 method,Fetal breathing movement US,OB.US,Mass,Pt,^Fetus,Qn,US+Estimated from AC&BPD&FL&HC.Hadlock 1985,g,ACTIVE
11735-8,Fetal Body weight estimated from Abdominal circumference and Biparietal diameter and Femur length on US by Hadlock 1985 method,Fetal Body tone US,OB.US,Mass,Pt,^Fetus,Qn,US+Estimated from AC&BPD&FL.Hadlock 1985,g,ACTIVE
11750-7,Fetal Body weight estimated from Abdominal circumference and Femur length on US by Hadlock 1984 method,Fetal Body weight estimated from Abdominal circumference and Femur length on US by Hadlock 1984 method,OB.US,Mass,Pt,^Fetus,Qn,US+Estimated from AC&FL.Hadlock 1984,g,ACTIVE
11752-3,Fetal Body weight estimated from Abdominal circumference and Femur length on US by Woo 1985 method,Fetal Amniotic fluid volume US,OB.US,Mass,Pt,^Fetus,Qn,US+Estimated from AC&FL.Woo 1985,g,ACTIVE
11766-3,Fetal Body weight percentile Per estimated gestational age,Fetal Body weight percentile Per estimated gestational age,OB.US,Prctl,Pt,^Fetus,Qn,Per estimated gestational age,%,ACTIVE
11768-9,Fetal Body weight percentile range Categorization by comparison with standards,Fetal Skull calcification [Presence] US,OB.US,Prctl,Pt,^Fetus,Ord,Categorization by comparison with standards,,ACTIVE
11820-8,Fetal Head Diameter.biparietal US,Fetal Head Diameter.biparietal US,OB.US,Len,Pt,Head^Fetus,Qn,US.measured,cm,ACTIVE
11851-3,Fetal Head Diameter.occipito-frontal US,Fetal Head Diameter.occipito-frontal US,OB.US,Len,Pt,Head^Fetus,Qn,US.measured,cm,ACTIVE
11860-4,Fetal Cisterna magna Diameter.sagittal US,Cisterna magna [Thickness] US,OB.US,Len,Pt,Cisterna magna^Fetus,Qn,US.measured,mm,ACTIVE
11861-2,Fetal Cisterna magna Mean sagittal diameter Estimated from gestational age,Cisterna magna Thickness [Percentile] US+Per estimated gestational age,OB.US,Len,Pt,Cisterna magna^Fetus,Qn,Estimated from gestational age,mm,ACTIVE
11863-8,Fetal Cerebellum Diameter transverse US,Fetal Cerebellum Diameter transverse US,OB.US,Len,Pt,Cerebellum^Fetus,Qn,US.measured,mm,ACTIVE
11871-1,Fetal Femur length/Abdominal circumference derived by US,Fetal Femur length/Abdominal circumference derived by US,OB.US,LenRto,Pt,^Fetus,Qn,US.derived,{ratio},ACTIVE
11872-9,Fetal Femur length/Biparietal diameter derived by US,Fetal Ulna [Length] US,OB.US,LenRto,Pt,^Fetus,Qn,US.derived,{ratio},ACTIVE
11877-8,Fetal presentation US,Fetal Fibula diaphysis [Length] US,OB.US,Type,Pt,Pelvis,Nom,US,,ACTIVE
11882-8,Fetal Sex US,Fetal Sex US,OB.US,Type,Pt,^Fetus,Nom,US,,ACTIVE
11883-6,Fetal Narrative Sex US,Fetal Breathing movement US^Time,OB.US,Type,Pt,^Fetus,Nar,US,,ACTIVE
11884-4,Gestational age Estimated,Gestational age Estimated,OB.US,Time,Pt,^Fetus,Qn,Clinical.estimated,wk,ACTIVE
11885-1,Gestational age Estimated from last menstrual period,Gestational age Estimated from last menstrual period,OB.US,Time,Pt,^Fetus,Qn,Estimated from last menstrual period,wk,ACTIVE
11886-9,Gestational age Estimated from ovulation date,Gestational age Estimated from ovulation date,OB.US,Time,Pt,^Fetus,Qn,Estimated from ovulation date,d,ACTIVE
11888-5,Gestational age US composite estimate,Gestational age US composite estimate,OB.US,Time,Pt,^Fetus,Qn,US.composite.estimated,wk,ACTIVE
11889-3,Gestational age estimated from Abdominal circumference on US,Gestational age estimated from Abdominal circumference on US,OB.US,Time,Pt,^Fetus,Qn,US+Estimated from AC,d,ACTIVE
